MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
lstm,Wind,12,0.2,4,32, True,25,32,5,3788,Adam,0.001,minmax,218.4998271,4.188704967,29.85195098,1758.394313,41.93321253
lstm,Wind,13,0.2,4,32, False,25,32,5,3788,Adam,0.001,minmax,235.1556635,4.202495813,29.09660315,1721.076732,41.48586183
lstm,Wind,14,0.2,4,64, True,25,32,5,3788,Adam,0.001,minmax,234.3675871,4.069570065,28.50918689,1647.301494,40.58696212
lstm,Wind,15,0.2,4,64, False,25,32,5,3788,Adam,0.001,minmax,234.194057,4.128944874,27.89191897,1640.570057,40.50395112
lstm,Wind,16,0.2,4,128, True,25,32,5,3788,Adam,0.001,minmax,225.1307821,4.417621374,31.85091339,2120.336191,46.04710839
lstm,Wind,17,0.2,4,128, False,25,32,5,3788,Adam,0.001,minmax,242.7902832,4.332409859,36.23949456,2733.347526,52.28142621
rnn,Wind,0,0.2,1,32, True,25,64,5,1894,Adam,0.001,minmax,48.78145766,1.232837677,27.25918235,1539.146863,39.23196227
rnn,Wind,1,0.2,1,32, False,25,64,5,1894,Adam,0.001,minmax,50.16778874,1.263993979,28.02603004,1642.013779,40.5217692
rnn,Wind,2,0.2,1,64, True,25,64,5,1894,Adam,0.001,minmax,49.66061735,1.224995136,27.85410054,1568.241641,39.6010308
rnn,Wind,3,0.2,1,64, False,25,64,5,1894,Adam,0.001,minmax,47.90584636,1.230167866,28.10424794,1684.484872,41.04247643
rnn,Wind,4,0.2,1,128, True,25,64,5,1894,Adam,0.001,minmax,47.05679917,1.226733446,31.47058223,2085.522843,45.66752504
rnn,Wind,5,0.2,1,128, False,25,64,5,1894,Adam,0.001,minmax,49.51869869,1.209907293,31.58212296,1949.887737,44.15753318
rnn,Wind,6,0.2,2,32, True,25,64,5,1894,Adam,0.001,minmax,82.31997848,1.741348743,27.41073553,1611.56431,40.14429361
rnn,Wind,7,0.2,2,32, False,25,64,5,1894,Adam,0.001,minmax,84.3397212,1.868158579,27.14015863,1563.192889,39.53723421
